Colonia;Habitaciones;Garages;Suites;Area;Valor;Condominio;Impuesto
Centro Histórico;1;0;0;15;2800.0;1365.0;70.0
Del Valle;1;0;0;48;2800.0;805.0;0.0
Narvarte;1;0;0;48;2625.0;2702.0;87.5
Centro Histórico;1;0;0;27;2625.0;1298.5;66.5
Centro Histórico;1;1;0;37;3850.0;1890.0;3150.0
San Miguel Chapultepec;1;0;0;37;3500.0;997.5;84.0
Roma;1;0;0;35;3500.0;1025.5;301.0
Nueva Santa María;1;1;0;63;2450.0;2187.5;126.0
Napoles;1;0;0;31;3990.0;1470.0;84.0
Roma;1;0;0;17;3850.0;1155.0;52.5
Villa de Guadalupe;1;1;0;45;2450.0;1246.0;441.0
San Rafael;1;0;1;30;3850.0;2030.0;0.0
Centro Histórico;1;0;1;38;4025.0;1400.0;87.5
Condesa;1;0;0;21;2800.0;1092.0;52.5
Centro Histórico;1;0;0;35;3500.0;1050.0;0.0
San Miguel Chapultepec;1;1;1;50;3675.0;1575.0;0.0
Santa Cruz Atoyac;1;0;0;50;3850.0;1953.0;70.0
Del Valle;1;0;0;55;2625.0;420.0;0.0
Roma;1;0;0;35;3500.0;1025.5;301.0
Condesa;1;1;0;49;4025.0;1995.0;98.0
Condesa;1;0;0;35;3850.0;1400.0;192.5
Narvarte;1;0;0;40;3850.0;1225.0;175.0
La Condesa;1;0;0;34;3850.0;962.5;49.0
Del Valle;1;0;1;45;2800.0;420.0;108.5
Nueva Santa María;1;0;0;37;2100.0;1449.0;56.0
Del Valle Centro;1;1;0;44;1750.0;1211.0;0.0
Santa Fe;1;1;1;45;3185.0;2240.0;42.0
Centro Histórico;1;0;0;30;3150.0;1120.0;0.0
Centro Histórico;1;0;0;21;3150.0;1011.5;70.0
Nativitas;1;0;0;35;1400.0;455.0;0.0
Roma Norte;1;0;0;33;2800.0;962.5;84.0
Ciudad de los Deportes;1;1;1;70;2100.0;1683.5;59.5
Centro Histórico;1;0;0;38;3150.0;780.5;52.5
Nueva Santa María;1;1;1;51;2975.0;1781.5;59.5
Condesa;1;0;0;45;2590.0;630.0;87.5
La Florida;1;1;1;64;3150.0;1645.0;52.5
La Condesa;1;0;1;48;3850.0;1750.0;0.0
Centro Histórico;1;0;0;40;3500.0;1785.0;73.5
Centro Histórico;1;0;0;55;2975.0;1225.0;122.5
Centro Histórico;1;0;0;28;3150.0;1561.0;84.0
Juárez;1;0;0;27;3500.0;1256.5;101.5
Nueva Santa María;1;1;0;62;3150.0;1942.5;0.0
Narvarte;1;0;0;35;2800.0;1330.0;84.0
Culhuacán CTM;1;0;0;40;2380.0;840.0;0.0
Centro Histórico;1;0;0;35;3325.0;1190.0;84.0
Narvarte;1;1;0;47;3850.0;2100.0;0.0
Iztacalco;1;0;0;55;2450.0;700.0;0.0
Condesa;1;0;0;55;3850.0;1960.0;199.5
Del Valle;1;0;0;27;3850.0;2380.0;101.5
La Condesa;1;0;0;50;3325.0;1995.0;234.5
Ciudad de los Deportes;1;1;0;45;2275.0;1295.0;490.0
Del Valle;1;0;1;37;3150.0;1078.0;0.0
Centro Histórico;1;0;0;34;3500.0;1575.0;73.5
Narvarte;1;0;0;35;2800.0;1470.0;0.0
Centro Histórico;1;0;0;45;3850.0;1400.0;0.0
Villa de Cortés;1;0;0;37;2800.0;749.0;49.0
La Loma;1;0;0;32;3850.0;1330.0;0.0
San Juan Xalpa;1;0;1;45;2975.0;805.0;0.0
La Condesa;1;0;1;40;4025.0;1820.0;0.0
Centro Histórico;1;0;0;33;2800.0;1330.0;87.5
Ciudad de los Deportes;1;1;0;48;1575.0;962.5;0.0
Centro Histórico;1;0;0;42;3815.0;1207.5;84.0
La Condesa;1;0;0;20;3150.0;1732.5;0.0
Condesa;1;0;0;33;3850.0;1830.5;196.0
Los Reyes Coyoacán;1;0;0;51;2800.0;717.5;0.0
Iztapalapa;1;0;0;50;2800.0;980.0;0.0
Los Reyes Coyoacán;1;0;0;51;2800.0;717.5;0.0
Centro Histórico;1;0;1;40;3325.0;1225.0;84.0
San Miguel Chapultepec;1;1;0;66;3500.0;2625.0;70.0
Centro Histórico;1;0;0;33;2975.0;1197.0;73.5
Condesa;1;0;0;28;3325.0;2264.5;196.0
Ciudad de los Deportes;1;0;0;47;1750.0;35.0;0.0
Peralvillo;1;1;0;61;3500.0;1214.5;182.0
Santa Fe;1;1;1;42;3850.0;2341.5;0.0
Juárez;1;0;0;26;2800.0;1400.0;101.5
Condesa;1;0;0;31;3850.0;1771.0;203.0
Iztacalco;1;0;0;45;1925.0;693.0;0.0
Centro Histórico;1;0;0;15;2800.0;1067.5;70.0
San Andrés Tetepilco;1;1;0;45;2520.0;280.0;0.0
Centro Histórico;1;0;0;30;3850.0;1400.0;0.0
Doctores;1;1;0;45;3150.0;1949.5;56.0
Iztapalapa;1;0;0;33;2100.0;10.5;0.0
